anomes;casos confirmados
201802;21
201803;189
201804;184
201805;544
201806;1808
201807;3463
201808;2211
201809;614
201810;225
201811;53
201812;17
201901;19
201902;44
201903;34
201904;34
201905;62
201906;464
201907;3024
201908;5962
201909;4942
201910;3476
201911;2053
201912;1319
202001;1848
202002;2147
202003;2608
202004;823
202005;69
202006;71
202007;83
202008;97
202009;101
202010;108
202011;71
202012;125
202101;178
202102;142
202103;97
202104;66
202105;51
202106;25
202107;31
202108;25
202109;21
202110;25
202111;27
202112;13
202201;9
202202;3
202203;7
202204;18
202205;18
202206;6
202207;3
202208;2
202209;4
202210;11
202211;2