,anomes,numberCases,anomes_real,ano,sarampo,tosse,febre,coriza,conjuntivite,exantema_maculopapular,exantema,manchas_de_Koplik,Koplik,manchas_vermelhas_no_corpo,manchas_vermelhas,fotofobia,triplice_viral_d1,triplice_viral_d2,tetra_viral,mortal_idade_ate1ano,mortal_idade_1a4anos,mortal_idade_5a9anos,mortalidade_infantil_ate9anos,rain_max,temp_avg,temp_max,temp_min,hum_max,hum_min,total_pop_homens,total_pop_mulheres,bc_numberCases,yhat_step_mult_bc,yhat_step_mult_all_bc2
0,201801,21,201802,2018,2.25,30.75,58.75,42.5,28.75,0.0,52.5,0.0,0.0,80.0,75.75,55.75,92.61,76.89,33.26,3079,463,244,3786,82.8,24.886737323861,40.0,0.0,100.0,10.0,101971173,106523727,2.7653277540711523,302.1091141687769,47.31157369316184
1,201802,189,201803,2018,4.25,34.0,23.25,52.75,43.5,0.0,58.75,0.0,0.0,53.75,70.25,70.5,92.61,76.89,33.26,2693,418,228,3339,83.6,24.35192718832943,39.0,0.0,100.0,10.0,101971173,106523727,4.450559682924635,86.35016538058116,113.83158634947353
2,201803,184,201804,2018,8.25,48.25,13.25,63.5,86.5,12.5,66.5,22.25,11.5,60.25,75.0,71.0,92.61,76.89,33.26,3197,478,236,3911,88.2,24.86553150041503,40.4,0.0,100.0,10.0,101971173,106523727,4.431396412592144,194.89699830617855,1473.9082800337217
3,201804,544,201805,2018,6.8,70.0,10.8,83.0,50.4,0.0,66.2,0.0,0.0,57.4,74.8,77.6,92.61,76.89,33.26,3108,527,281,3916,96.6,23.65892948607109,41.9,-4.3,100.0,11.0,101971173,106523727,5.180478078402481,129.28736713544393,598.2364698354274
4,201805,1808,201806,2018,4.5,89.75,8.5,83.75,26.5,13.5,59.0,0.0,0.0,69.0,69.25,66.75,92.61,76.89,33.26,3213,562,300,4075,87.4,22.12127643587207,38.1,-5.1,100.0,8.0,101971173,106523727,5.951729629777915,510.484081921108,467.7270383733919
5,201806,3463,201807,2018,5.5,90.5,7.5,85.0,19.75,14.75,62.25,0.0,24.5,62.25,62.25,53.0,92.61,76.89,33.26,3047,536,272,3855,44.0,21.039745337313,43.3,-2.8,100.0,10.0,101971173,106523727,6.344923172159522,775.4800990275427,265.1382971892006
6,201807,2211,201808,2018,54.4,85.8,6.8,74.4,18.8,0.0,68.2,34.4,52.4,49.6,70.2,59.0,92.61,76.89,33.26,3009,518,249,3776,49.8,21.321535947582,40.0,-5.7,100.0,6.0,101971173,106523727,6.075227426663009,583.8711784405813,548.9854277515011
7,201808,614,201809,2018,50.75,67.75,6.25,70.75,18.5,0.0,58.5,18.5,31.25,44.0,66.5,59.0,92.61,76.89,33.26,2985,463,233,3681,53.4,21.80607587878718,44.7,-5.2,100.0,5.0,101971173,106523727,5.260932373983462,240.54008316626906,420.24634593985604
8,201809,225,201810,2018,11.8,68.6,6.6,63.2,20.0,9.6,70.0,32.4,18.2,69.0,68.0,57.0,92.61,76.89,33.26,2802,492,255,3549,87.0,23.80168253142768,45.0,-6.2,100.0,7.0,101971173,106523727,4.574376388876242,2518.589451636312,440.11053675492224
9,201810,53,201811,2018,7.0,56.25,6.75,54.0,20.25,25.0,73.5,0.0,28.75,55.25,70.25,50.75,92.61,76.89,33.26,2866,474,255,3595,90.6,24.665965428055024,45.0,0.4,100.0,10.0,101971173,106523727,3.504466019902144,44.58705126690962,80.96684498855979
10,201811,17,201812,2018,5.75,53.75,7.0,58.0,19.25,33.25,77.5,0.0,41.75,58.5,76.25,79.75,92.61,76.89,33.26,2866,447,261,3574,79.4,24.61220021085422,40.8,0.0,100.0,10.0,101971173,106523727,2.5903672185620095,22.760532859708956,128.5889953037309
11,201812,19,201901,2018,4.2,46.2,6.8,56.4,18.2,0.0,60.4,0.0,10.8,60.2,85.2,44.6,92.61,76.89,33.26,2999,491,258,3748,75.4,24.830574758168893,43.1,0.0,100.0,10.0,101971173,106523727,2.6827562340768853,22.820362617911588,93.60168292862815
12,201901,44,201902,2019,2.0,29.0,61.0,41.0,68.25,17.5,51.0,0.0,0.0,52.5,71.0,58.0,93.12,81.55,34.24,3035,451,231,3717,71.0,25.74164018656827,41.3,3.4,100.0,10.0,102760295,107386830,3.359389742844915,30.972776523537043,56.38673539866524
13,201902,34,201903,2019,6.75,31.25,77.0,50.5,58.25,0.0,54.25,9.75,0.0,56.5,67.0,59.25,93.12,81.55,34.24,2893,351,195,3439,90.0,25.14360237125675,44.7,3.0,100.0,10.0,102760295,107386830,3.155511493234622,263.186843922165,87.84914689130746
14,201903,34,201904,2019,7.4,56.2,89.2,74.6,63.0,0.0,68.0,18.8,11.2,53.8,77.4,70.4,93.12,81.55,34.24,3167,463,302,3932,96.0,24.6161181811819,40.8,3.1,100.0,10.0,102760295,107386830,3.155511493234622,135.5437029860002,57.898792208119254
15,201904,62,201905,2019,6.25,71.0,94.0,73.75,64.0,16.75,70.0,9.5,19.5,71.5,87.5,46.5,93.12,81.55,34.24,3212,563,288,4063,89.0,24.19534923790937,38.5,-4.1,100.0,7.0,102760295,107386830,3.625393308700706,54.945603729126056,116.13421045390115
16,201905,464,201906,2019,5.25,76.5,93.0,82.0,72.5,14.25,70.0,10.25,14.5,82.0,81.25,64.0,93.12,81.55,34.24,3269,563,283,4115,75.8,23.099981816001097,40.1,-5.4,100.0,5.0,102760295,107386830,5.0737984610486055,450.00432558512273,467.7659998402141
17,201906,3024,201907,2019,7.2,89.6,84.2,92.0,77.0,11.2,59.6,16.4,12.8,70.0,75.2,53.8,93.12,81.55,34.24,3025,556,279,3860,40.4,21.94090570625507,38.4,-4.1,100.0,6.0,102760295,107386830,6.264262642557885,741.8272811250838,510.64623030240926
18,201907,5962,201908,2019,45.25,80.25,64.0,80.75,83.0,0.0,50.5,10.0,51.5,49.5,66.25,62.0,93.12,81.55,34.24,2962,459,279,3700,59.2,20.782563747613963,38.6,-8.1,100.0,4.0,102760295,107386830,6.661234685291135,340.44782001327593,2616.1543483026812
19,201908,4942,201909,2019,90.5,73.75,64.75,84.0,85.5,58.0,67.5,49.0,77.25,54.5,69.25,66.25,93.12,81.55,34.24,2818,492,255,3565,43.6,21.99805195637359,39.9,-5.3,100.0,4.0,102760295,107386830,6.553231920549899,345.56659601459955,18361.579401397852
20,201909,3476,201910,2019,41.6,62.6,66.6,66.0,93.8,0.0,75.2,38.2,65.4,66.0,69.8,55.2,93.12,81.55,34.24,2631,484,246,3361,80.8,24.290332829650826,44.8,-1.5,100.0,7.0,102760295,107386830,6.347142792991426,3104.3714514835974,3079.5018225021163
21,201910,2053,201911,2019,34.5,55.0,68.25,60.75,96.0,32.75,69.0,58.0,55.75,62.75,73.0,59.25,93.12,81.55,34.24,2738,472,263,3473,68.6,25.12252939293743,41.6,-5.6,100.0,5.0,102760295,107386830,6.029909099437406,957.413389006977,2280.9616536202157
22,201911,1319,201912,2019,23.5,45.5,67.5,58.0,88.25,13.0,62.75,39.75,47.75,52.5,70.0,52.75,93.12,81.55,34.24,2739,487,267,3493,64.4,25.22446082850753,44.5,1.8,100.0,7.0,102760295,107386830,5.75495057359432,420.80781784586316,262.7171197333997
23,201912,1848,202001,2019,10.8,50.8,64.8,62.8,82.4,0.0,53.6,0.0,14.6,71.6,75.6,51.0,93.12,81.55,34.24,2804,481,278,3563,67.6,25.273168307326106,44.2,2.8,100.0,7.0,102760295,107386830,5.9652372786134045,242.59823617459736,672.9585758389062
24,202001,2147,202002,2020,8.75,23.0,41.0,4.75,90.25,0.0,63.0,0.0,33.0,72.0,87.0,63.75,80.88,64.27,21.01,2817,425,265,3507,76.4,25.146325013996787,44.7,-23.9,100.0,7.0,103527689,108228003,6.057299325771688,14.936109572148366,93.0214171857208
25,202002,2608,202003,2020,42.5,32.0,43.5,10.0,83.75,13.75,75.25,0.0,39.5,87.25,93.25,71.5,80.88,64.27,21.01,2671,386,229,3286,87.8,24.765540708084608,40.8,-37.8,100.0,7.0,103527689,108228003,6.175392946563012,16.248641210944253,2648.858961319746
26,202003,823,202004,2020,23.8,68.2,72.0,46.8,77.2,10.8,79.4,20.0,31.8,84.0,89.2,64.0,80.88,64.27,21.01,2925,499,234,3658,79.6,24.49565001866897,44.4,-44.4,100.0,7.0,103527689,108228003,5.453082636797427,131.8208370244501,619.2791046319462
27,202004,69,202005,2020,7.25,38.0,57.75,17.5,65.75,25.0,61.75,0.0,11.5,84.5,78.25,71.75,80.88,64.27,21.01,2696,378,202,3276,96.0,23.161267458626355,40.5,-42.3,100.0,7.0,103527689,108228003,3.7071739717326913,72.76149487647773,316.7247119238184
28,202005,71,202006,2020,6.0,31.8,50.2,15.2,51.2,0.0,61.8,15.2,13.8,72.4,77.6,67.0,80.88,64.27,21.01,2786,394,233,3413,81.2,21.270716107933566,41.8,-46.0,100.0,4.0,103527689,108228003,3.728923516683707,130.1880655949287,116.22528239023671
29,202006,83,202007,2020,5.25,26.75,44.0,13.75,53.25,0.0,57.25,20.25,11.0,69.25,75.0,72.5,80.88,64.27,21.01,2540,320,220,3080,47.4,21.416681109398688,42.0,-46.2,100.0,5.0,103527689,108228003,3.847087638791721,176.46396441310822,203.74415263542807
30,202007,97,202008,2020,6.25,26.0,40.25,15.5,50.75,0.0,45.0,0.0,0.0,55.75,70.5,68.5,80.88,64.27,21.01,2520,329,210,3059,63.6,20.926525701665913,42.3,-51.3,100.0,7.0,103527689,108228003,3.963856008717086,41.992165616410965,128.75792012321324
31,202008,101,202009,2020,8.2,21.2,34.8,13.6,46.0,14.2,49.8,0.0,0.0,50.8,64.0,74.0,80.88,64.27,21.01,2516,379,211,3106,34.4,21.784205862566186,43.6,-51.6,100.0,6.0,103527689,108228003,3.9939379718928625,39.93722505619469,71.7621617346543
32,202009,108,202010,2020,6.25,18.25,32.5,9.75,50.0,0.0,55.25,0.0,0.0,61.25,73.5,69.75,80.88,64.27,21.01,2380,347,178,2905,61.2,24.269080141843986,44.5,-48.0,100.0,7.0,103527689,108228003,4.043650797216607,38.889910769072955,142.67869564876054
33,202010,71,202011,2020,6.25,17.75,33.0,10.25,50.5,0.0,48.25,23.25,26.5,50.75,67.75,48.5,80.88,64.27,21.01,2526,396,187,3109,81.6,25.033699254662857,44.6,-45.0,100.0,7.0,103527689,108228003,3.728923516683707,105.16859780655227,44.7966857096805
34,202011,125,202012,2020,4.0,24.8,36.6,14.4,53.0,0.0,52.0,0.0,28.0,57.6,64.4,56.6,80.88,64.27,21.01,2397,354,202,2953,87.4,24.37907322072657,44.8,-29.4,100.0,7.0,103527689,108228003,4.151358639530336,106.76090920360856,34.67721802406129
35,202012,178,202101,2020,3.5,29.75,42.5,15.75,60.0,0.0,39.0,0.0,24.75,82.5,83.25,76.0,80.88,64.27,21.01,2665,379,211,3255,83.2,24.964263787411213,42.5,-23.4,100.0,7.0,103527689,108228003,4.4076552884471685,69.21488671509012,97.73186757307322
36,202101,142,202102,2021,68.4,20.8,35.6,41.4,78.2,0.0,75.2,0.0,0.0,77.0,96.8,66.8,74.94,53.2,6.27,2772,389,248,3409,74.6,25.02759196063571,40.3,5.6,100.0,7.0,104271843,109045796,4.244488645725786,14.336675826946436,54.78879542006648
37,202102,97,202103,2021,52.5,23.25,38.5,45.25,75.25,0.0,79.25,0.0,14.25,69.0,89.25,86.0,74.94,53.2,6.27,2511,359,209,3079,88.8,24.410513962835804,40.1,1.5,100.0,7.0,104271843,109045796,3.963856008717086,21.331944005330556,30.393140622186856
38,202103,66,202104,2021,64.5,31.5,45.75,52.5,70.5,0.0,85.75,0.0,0.0,91.75,97.0,77.75,74.94,53.2,6.27,2838,436,228,3502,85.0,24.53866609420684,39.2,4.2,100.0,7.0,104271843,109045796,3.673258623186329,55.721355026252084,73.52658925464026
39,202104,51,202105,2021,63.0,24.5,41.5,41.0,65.75,0.0,86.0,0.0,0.0,78.25,86.25,82.5,74.94,53.2,6.27,2625,378,200,3203,66.2,23.19537832459538,45.0,-5.1,100.0,7.0,104271843,109045796,3.4746215935210167,58.76967036348298,55.22156071790924
40,202105,25,202106,2021,63.6,33.2,43.6,63.0,63.8,0.0,75.4,20.0,0.0,70.6,82.0,74.0,74.94,53.2,6.27,2704,416,210,3330,76.6,21.538542993786987,44.9,-3.3,100.0,4.0,104271843,109045796,2.9079121820441265,244.92094747848347,42.84034857413666
41,202106,31,202107,2021,59.75,31.0,36.5,53.0,62.25,0.0,77.75,19.5,43.25,63.0,78.75,77.25,74.94,53.2,6.27,2611,381,238,3230,42.8,20.48507974067931,37.4,-7.5,100.0,7.0,104271843,109045796,3.0816418969589994,152.13677120608511,35.27737172273702
42,202107,25,202108,2021,45.25,30.25,33.25,63.25,62.5,0.0,61.5,0.0,11.5,59.5,74.0,63.75,74.94,53.2,6.27,2776,423,225,3424,41.8,19.882524114595057,39.1,-9.9,100.0,4.0,104271843,109045796,2.9079121820441265,107.66877852392078,25.949184786583704
43,202108,21,202109,2021,53.8,31.2,32.6,52.8,64.6,0.0,81.8,0.0,7.8,53.0,77.0,70.2,74.94,53.2,6.27,2569,408,240,3217,56.0,22.07497891718133,41.6,-5.7,100.0,7.0,104271843,109045796,2.7653277540711523,33.72539212264568,15.61654559619674
44,202109,25,202110,2021,78.0,32.5,32.75,38.0,71.5,0.0,79.5,0.0,9.0,66.0,81.5,75.5,74.94,53.2,6.27,2472,408,219,3099,60.0,24.67225571264172,45.0,-1.1,100.0,5.0,104271843,109045796,2.9079121820441265,38.12609950991148,40.02003745590507
45,202110,27,202111,2021,73.0,36.6,34.6,38.0,76.2,14.8,77.4,0.0,0.0,64.8,80.4,59.8,74.94,53.2,6.27,2648,456,234,3338,68.0,23.89452461622468,41.8,-0.2,100.0,7.0,104271843,109045796,2.97034393583652,25.189860699251135,24.657775874741237
46,202111,13,202112,2021,63.75,38.25,36.5,36.5,82.5,0.0,86.0,0.0,19.25,64.0,79.0,71.0,74.94,53.2,6.27,2594,447,216,3257,69.2,24.063790988968293,42.7,-9.2,100.0,7.0,104271843,109045796,2.3648003503406496,43.355926842063724,35.504903400125094
47,202112,9,202201,2021,48.5,68.25,71.0,70.25,91.25,25.0,70.25,0.0,0.0,76.0,89.5,57.25,74.94,53.2,6.27,2736,520,299,3555,85.6,24.3952360661455,40.1,2.8,100.0,7.0,104271843,109045796,2.049219099992675,28.224250078223857,15.765234325324572
48,202201,3,202202,2022,9.2,78.0,77.0,74.4,48.8,38.2,50.8,0.0,42.4,85.2,98.0,67.6,80.7,57.64,10.43,2925,617,350,3892,76.0,24.89243488609177,42.2,6.0,100.0,7.0,104990487,109838053,1.0607458565553216,14.656243795556152,2.473345419103096
49,202202,7,202203,2022,9.25,32.5,41.5,28.0,42.25,27.0,58.25,0.0,0.0,79.25,92.25,78.25,80.7,57.64,10.43,2531,429,249,3209,65.4,24.827239824407037,42.9,5.7,100.0,9.0,104990487,109838053,1.829213078809777,9.995269156169462,3.755062221263987
50,202203,18,202204,2022,14.75,34.75,42.5,28.75,44.0,50.0,73.25,23.0,42.5,80.25,88.25,85.75,80.7,57.64,10.43,2756,514,244,3514,75.4,24.518083386295928,38.7,2.2,100.0,7.0,104990487,109838053,2.6379280077207627,23.738514238309673,3.5637045785479393
51,202204,18,202205,2022,50.5,51.75,40.5,30.75,47.5,51.25,84.5,31.75,64.75,79.5,94.0,79.0,80.7,57.64,10.43,2810,552,273,3635,101.4,23.521330187668525,39.2,0.0,100.0,7.0,104990487,109838053,2.6379280077207627,16.26738294308403,9.779167720555852
52,202205,6,202206,2022,39.4,72.6,42.2,43.0,63.0,69.8,90.8,12.2,65.2,84.8,91.8,79.2,80.7,57.64,10.43,2990,662,308,3960,138.2,20.833137774866614,37.5,-2.9,100.0,8.0,104990487,109838053,1.6924984494916993,10.273575539359506,12.769656383495434
53,202206,3,202207,2022,20.25,88.25,47.75,52.0,76.5,23.75,72.75,0.0,43.0,71.75,86.25,72.25,80.7,57.64,10.43,2705,622,266,3593,60.0,20.204223473028303,37.4,-3.9,100.0,7.0,104990487,109838053,1.0607458565553216,21.37604085206673,7.949849530692204
54,202207,2,202208,2022,10.6,62.2,38.4,32.4,71.4,0.0,51.4,0.0,0.0,69.6,84.0,74.4,80.7,57.64,10.43,2686,544,280,3510,44.2,21.502448203675414,37.8,-1.8,100.0,7.0,104990487,109838053,0.6779434342552486,32.540443771033814,5.203303281177313
55,202208,4,202209,2022,15.5,46.0,31.75,30.75,68.75,12.5,57.0,0.0,44.75,63.0,75.75,82.0,80.7,57.64,10.43,2588,488,253,3329,56.6,21.568882079620533,39.7,-6.4,100.0,7.0,104990487,109838053,1.3263653979326655,36.01897022435876,8.007052324763164
56,202209,11,202210,2022,13.75,50.0,35.0,24.25,77.0,28.5,64.0,18.5,27.5,58.5,74.75,63.25,80.7,57.64,10.43,2445,478,228,3151,51.2,22.69281502906569,40.8,-2.5,100.0,7.0,104990487,109838053,2.2223582167369877,34.51775750712988,4.928515322640731
57,202210,2,202211,2022,10.8,39.4,38.6,20.4,88.8,0.0,67.2,16.6,35.2,61.0,79.0,80.2,80.7,57.64,10.43,2517,477,276,3270,71.8,24.1957871330791,41.1,2.5,100.0,7.0,104990487,109838053,0.6779434342552486,50.6307648876358,4.510592785250606
